Section ID,Content,Sub-Topic,What to Cover,Tools/ Processes/ Comments
,,,Introduction to Sqoop,Exercise
,,,Introduction to HUE,Hadoop User Environement (GUI)
,,,Introduction to Oozie,Exercise
,,,Introduction to Hbase,Exercise
,,,Introduction to Flume,Exercise
,,,How to submit Hadoop jobs ?,Exercise
,,,Hadoop Infrastructure,Cloudera/ EMR
,,,,
,,Apache Spark,Introduction to RDD,Exercise
,,,Introduction to Spark SQL,Exercise
,,,Introduction to Dataframes API,Exercise
,,,Introduction to MLLib,Exercise
,,,How to submit Spark jobs ?,Exercise
,,,Spark Infrastructure,"EMR/ Databricks/ HDInsights/ Kubernetes - EKS, AKS/ Cloudera"
,,,,
,,Apache Airflow,Introduction to DAGs,Exercise
,,,Introduction to Operators,Exercise - BashOperator/ PythonOperator/SparkK8sOperator
,,,How to schedule Spark Jobs ?,Exercise
,,,,
,,Apache Kafka,Introduction to Kafka,
,,,Introduction to Kafka Architecture,
,,,Kafka Components ,"Producer, Consumer, Topics, Streams, Connector "
,,,Kafka Infrastructure,
,,,,
,,Docker and Kubernetes,Introduction to Docker,
,,,How to make Docker Images,
,,,Docker commands,Pull/ Push/ List/ Run
,,,Introduction to Kubernetes,
,,,Kubernetes Architecture,
,,,Kubernetes Commands,Kubectl
,,,Introduction to Helm,
,,,,
,,Machine Learning,Introduction to ML,
,,,Why companies leverage Machine Learning ?,
,,,Feature Engineering,
,,,Model Build and Training,
,,,Hyperparameter Tuning,
,,,Take model to Production,
,,,,
,,ML Platforms,Introduction to Kubeflow,
,,,Introduction to MLFlow,
,,,,
4,Interview Preparation ,Data Engineering Interview Preparation,Which all topics to cover to prepare for a Data Engineering Interview ?,
,,,"Platforms to practise, and learn",
,,,,
,,Platforms to prepare Data Structures and Algorithms,Leetcode,
,,,HackerRank,
,,,Codility,
,,,,
,,How to get a job in India or Abroad ?,How to use Naukri.com ?,
,,,How to use LinkedIn Jobs ?,
,,,How to use Stack Overflow Jobs ?,
,,,How to use Company Portals ?,
,,,How to write a CV ?,
,,,How to write a Cover Letter ?,
,,,Interview process in India,
,,,Interview process and immigration guide to Singapore ,Companies to target
,,,Interview process and immigration guide to UK ,Companies to target
,,,Interview process and immigration guide to Germany ,Companies to target
,,,Interview process and immigration guide to Netherlands ,Companies to target
,,,Interview process and immigration guide to Sweden,Companies to target
,,,Interview process and immigration guide to Denmark,Companies to target
,,,Interview process and immigration guide to Japan,Companies to target
